question
"If my application for Singapore citizenship is successful, what is the difference between registering for citizenship and the citizenship ceremony, and are there any costs involved with either?"
"If I have generated a group QR code for my family and one member gets a new passport, how do I update the information in the existing QR code?"
"If I submitted a visa application with an error, can I amend the application or must I submit a new one?"
"After a new passport is issued to a Singapore citizen, are there any steps needed to link the new passport to their existing immigration status, such as Permanent Resident status, if applicable?"
"If my Re-Entry Permit (REP) renewal is pending, can I still travel outside of Singapore?"
What are the fees associated with replacing a lost passport or identity card (IC)?
"If my Re-Entry Permit (REP) is expiring soon and I am currently overseas, is it possible to renew it remotely, or do I need to return to Singapore?"
"If I update my passport details, how long will it take for the changes to reflect in ICA's system?"
"If my application for a Long-Term Visit Pass (LTVP) is approved, what are the subsequent steps I need to take to receive the pass?"
"If I am currently overseas, can I apply for an extension to my Re-Entry Permit (REP)?"
"If I am holding a long-term visit pass and I need to update my passport details with ICA, what information would I need to provide?"
"If I am eligible to collect my new passport at SingPost, can I choose to collect it at ICA instead?"
"If I am travelling with a group by car, can each passenger submit their own SG Arrival Card instead of using a group QR code?"
"If I have lost my physical Long-Term Visit Pass card, what steps do I need to take to obtain a replacement, especially given the recent changes in ICA's policy regarding physical cards?"
"If my Student's Pass application is approved, will I be notified of my enrolment date?"
What happens if I provide incorrect information when generating the QR code for immigration clearance?
"If I am already a Singapore Permanent Resident (PR), do I need to apply for a visa to enter Singapore?"
"If I need to update my records with ICA, which e-Service do I use for a change of address?"
"If my application for a Singapore visa is rejected, will I be given a reason for the rejection?"
"If I have a valid Re-Entry Permit (REP), but my passport is expiring soon, can I renew the REP?"
"If I am applying for a Singapore passport for my child, and I am a single parent, what documents do I need to provide in addition to the standard requirements?"
"If I am a permanent resident whose Re-Entry Permit (REP) is about to expire, can I renew my REP at an overseas Singapore embassy?"
"If my visit pass is expiring soon while my long term visit pass is in process, how long can I stay in Singapore?"
Can I re-apply for a visa immediately after a previous visa application was rejected?
Can I transfer my Re-Entry Permit (REP) to a new passport online?
What are the requirements for reporting a lost passport to ICA?
What are the differences between a digital Student's Pass (STP) and the physical card?
Are there any specific dress codes or requirements when attending the Singapore citizenship ceremony?
"If my visa application is submitted by a business user, what are the requirements for the local contact?"
"If I'm a permanent resident traveling by car with my family, can all of us use a single QR code for immigration clearance?"
"If my application for Permanent Residence in Singapore is rejected, is it possible to find out the specific reasons for the rejection from ICA?"
"Are there specific lanes designated for travellers using the QR code at land checkpoints, and if so, where are these lanes located?"
Are there any COVID-19 vaccination requirements for Singapore citizens returning to Singapore?
"If I am eligible for collection of my passport at SingPost, can I opt to collect it at ICA Services Centre instead?"
"If my passport is damaged, can I still use the QR code at land checkpoints, or do I need to present the passport for immigration clearance?"
"If I am a PR and my Re-Entry Permit (REP) is expiring soon, can I still travel out of Singapore and apply for renewal while overseas?"
"If my LTVP application is approved, how will I receive my Long-Term Visit Pass?"
"If my flight details change after submitting the SG Arrival Card, do I need to submit a new one?"
Can I submit a previous version of the SG Arrival Card (SGAC) if I am unable to access the updated submission feature?
"If my passport is expiring soon, can I still apply for an APEC Business Travel Card?"
"If my address is not appearing correctly in MyICA profile, how do I rectify it?"
"If I am travelling to Singapore for medical treatment, what specific documents should I carry in addition to the usual entry requirements like passport and SG Arrival Card?"
"If I have two separate appointments for passport collection at SingPost and IC collection at ICA, can I combine them into one appointment at either location?"
What are the implications if a Re-Entry Permit (REP) holder's passport expires while they are overseas?
"If I have already started my trip, can I still submit the SG Arrival Card?"
"If I am traveling by bus to Singapore, and I don't know the bus number yet, what can I enter when submitting the SG Arrival Card?"
"If I have an existing appointment for passport collection, can I reschedule it online?"
What is the procedure for transferring the validity of my Re-Entry Permit (REP) from an old passport to a newly issued one?
"If my application for a Singapore visa is approved, how will I receive it?"
"If my passport expires while my Long-Term Visit Pass (LTVP) application is pending, should I renew it before the application is approved?"
"If I am renewing my Re-Entry Permit (REP) and am currently overseas, what are the acceptable methods of application and what supporting documents are needed for each method?"
What happens to my Re-Entry Permit (REP) if I am still residing overseas when it expires?
"If I am applying for PR and have a change of address during the application, how do I update ICA?"
"If I am a Singapore Permanent Resident (PR) and I am outside of Singapore when my Re-Entry Permit (REP) expires, what steps should I take to maintain my PR status?"
"If I have a digital Long-Term Visit Pass (LTVP), how do I access it?"
"If I am applying for Long-Term Visit Pass (LTVP) for my spouse, do I need to engage a lawyer?"
"If I plan to use the QR code for immigration clearance at a land checkpoint, what kind of vehicle is required?"
"If I am a Singapore Permanent Resident currently overseas, how can I update my address with ICA?"
Are there any penalties for providing inaccurate information on the SG Arrival Card?
"If I am a Long-Term Visit Pass holder, and my passport is expiring soon, will I face issues travelling outside Singapore and returning?"
"If I have an existing appointment at ICA, can I add other services to the same appointment, such as passport application or IC re-registration?"
"If my passport is expiring soon, can I still apply for a visa?"
What is the fee for replacing a lost APEC Business Travel Card (ABTC)?
"If my LTVP renewal is still in process, can I travel outside of Singapore?"
"If my Singapore passport is expiring soon, can I renew it online while residing overseas?"
"If I am applying for PR while my passport is expiring, will this affect my application?"
"If my Re-Entry Permit (REP) is expiring soon, can I renew it while I am still inside Singapore?"
"If I am a Singapore Permanent Resident and my Re-Entry Permit is expiring soon, can I renew it online or must I do so in person?"
"If I'm a Singapore citizen, can my foreign spouse apply for a Long-Term Visit Pass (LTVP) while already in Singapore on a tourist visa?"
How can a foreign national update their passport information with ICA if they hold a work permit?
"If my current passport and Re-Entry Permit (REP) are expiring soon, should I renew my passport first or renew the REP first?"
"If I am traveling with a group, can each member use their own individual QR code instead of a group QR code for immigration clearance?"
"If my Long-Term Visit Pass application is successful, how will I be notified and when will I receive my pass?"
"If my Re-Entry Permit (REP) is expiring soon, how do I know if I can renew it online or if I need to apply in person at ICA?"
"If my Singapore citizenship application is still pending and my current visa is expiring, what steps should I take to remain in Singapore legally?"
"If my short-term visit pass (STVP) renewal is pending, can I leave and re-enter Singapore before my current pass expires?"
