identifier,question,answer
BTT_17,What is crucial before pulling out to pass another vehicle to alert other road users of your intention?,Give a clear signal in good time.
BTT_18,What is the purpose of bus-stop separator areas being painted red?,The red paint alerts motorists to the presence of merging vehicles from bus-stops.
BTT_19,"What type of vehicles are permitted to use bus lanes during restricted hours other than omnibuses, bicycles, emergency service, and police vehicles?","Non-scheduled buses, such as school and factory buses, are permitted to use bus lanes during restricted hours."
BTT_20,Where must vehicles with speed limits of 60 km/h and below travel on an expressway?,They must travel along the left-hand lane of the expressway.
BTT_21,What is recommended for optimizing fuel efficiency when using air-conditioning in a vehicle?,Avoid setting the air-conditioning temperature too low and increase the fan speed instead.
BTT_22,What type of background and border colors are used for directional signs that provide information on non-expressway roads?,Green backgrounds with white borders.
BTT_23,What actions should people take during an emergency in Fort Canning Tunnel and Woodsville Tunnel?,"People should head for the tunnel entrance or exit, whichever is safer."
BTT_24,Why is it important to keep a safe following distance from the vehicle in front?,To allow enough room to stop safely if the vehicle stops abruptly.
BTT_25,What specific road conditions can warning signs indicate to drivers?,"Warning signs can indicate slippery roads, gated and ungated level crossings, uneven roads, road humps, steep upward and downward slopes, roads leading to quays, river banks, or seas."
BTT_26,"What is prohibited for pedal cyclists, including trishaws, tricycles, and bicycles, beyond the point marked by certain signs?","The riding of pedal-cycles, including trishaws, tricycles, and bicycles, is prohibited."
BTT_27,"Under what circumstances is it permissible to drive, move, or stop on the road shoulder or verge?","It is permissible only in the event of a breakdown, accident, or emergency."
BTT_28,Which website should you visit to get information about driving overseas and applying for an International Driving Permit (IDP) in Singapore?,Automobile Association of Singapore (AAS) website.
BTT_29,What does a green-down arrow on lane use signs indicate to motorists in the tunnels?,It indicates that a motorist can drive on ahead.
BTT_30,What is the recommended sequence to look at a junction according to the Basic Theory Test?,"Look right, then left, then right again."
BTT_31,What must vehicles approaching a Police Officer from the front and behind do?,They must stop.
BTT_32,What is the penalty for exceeding the speed limit of a vehicle by 1 to 20 kilometres per hour?,It is considered an offence.
BTT_33,"What does the signal ""Means \""GO\"" for straight ahead vehicles and \""GO\"" for right turn vehicles"" indicate?",It indicates that vehicles can proceed straight ahead as well as make a right turn.
BTT_34,What is the designated use for parking lots demarcated in red within Singapore's parking guidelines?,Parking lots demarcated in red are reserved for Season Parking Ticket Holders.
BTT_35,What is a topic discussed when learning the basic theory of driving in Singapore?,Basic theory of driving.
BTT_36,Which category of traffic signs must be followed without exception?,Mandatory signs are compulsory signs.
BTT_37,What action should be taken when encountering a situation that requires reduced speed to ensure safety?,Slow down.
BTT_38,What does a yellow color on Travel Time Display signboards indicate?,Yellow color indicates that the travel time displayed is between 50% to 125% more than normal travel time.
BTT_39,What must drivers do when driving in a tunnel to ensure they can handle ERP payments?,Drivers must insert the cash card in advance for ERP payments when driving in tunnels.
BTT_40,What information is indicated by the car park signboard located at the entrance of each car park or along the public road?,"The car park signboard indicates the different parking schemes, operating hours, and parking rates available."
BTT_41,What is the minimum age requirement to qualify for a driving licence in Singapore?,The minimum age requirement to qualify for a driving licence in Singapore is 18 years old.
BTT_42,What is the maximum speed limit for vehicles traveling in a silver zone when a 40km/h speed limit sign is attached below?,40 km/h
BTT_43,"When approaching a side road, what should drivers do regarding vehicles entering from it?",Give way to vehicles from the side road entering the main road.
BTT_44,What does the road sign indicating 'Road narrows on one side' signify?,"It warns drivers that the road ahead will narrow on one side, requiring caution and potential adjustments in lane position."
BTT_45,What does the yellow section in a mandatory give-way to buses area indicate?,It indicates a mandatory give-way to buses area.
BTT_46,How does driving a vehicle in the right gear impact fuel efficiency and emissions?,Driving the vehicle in the right gear will increase fuel efficiency and reduce emissions.
BTT_47,What is the consequence of failing to comply with prohibitory signs in Singapore's Basic Theory Test regulations?,It constitutes an offence.
BTT_48,What action should motorists take when they notice buses pulling out of the bus bay?,Motorists should slow down and watch out for buses pulling out of the bus bay.
BTT_49,What must a driver do before moving off to ensure safety and comply with regulations?,Fasten the seat belt and look in the mirrors.
BTT_50,How many steps are involved in the specified process for overtaking another vehicle safely according to Singapore's Basic Theory Test?,12 steps
BTT_51,Under what circumstances must a driver refrain from crossing the center line of the road?,"A driver must not cross the center line at bends, near the crest of a rise, or anywhere else where they cannot clearly see the road ahead (Fact 3)."
BTT_52,What is indicated by merging arrows drawn on the road in Singapore's Basic Theory Test?,Merging arrows indicate that two traffic lanes are merging into one traffic lane and give motorists advance warning of this situation.
BTT_53,What safety measures are included under road code conduct to ensure a safe following distance while driving?,The road code conduct includes the two-second rule and stopping distance to ensure safe following distance while driving.
BTT_54,What does the 'Two-way traffic ahead' sign instruct drivers to do?,"Slow down, keep left, and beware of oncoming traffic."
