identifier,question,answer
ICA_11,Do the People’s Republic of China (PRC) nationals need to apply for an entry visa if they intend to stay for more than 30 days?,"With effect from 9 February 2024, holders of ordinary passports issued by the People’s Republic of China will be exempted from visa requirements for a stay of up to 30 days in Singapore. Holders of PRC ordinary passports are not required to apply for an entry visa before entry into Singapore.If they wish to stay beyond 30 days, they may submit an online application to ICA to extend their short-term visit pass (STVP), after entering Singapore. The application can only be submitted up to 14 days before the STVP expires.Applications for STVP extension are subject to approval and relevant fees may apply. Please refer to ICA website for more information regarding the extension of an STVP."
ICA_12,How do I know which designated lanes to use on arrival and is it applicable for all checkpoints?,"There will be signages to inform eligible foreign visitors to use the designated lanes for immigration clearance at the respective passenger halls.These designated lanes are currently available at Tuas Checkpoint, Woodlands Checkpoint and Marina Bay Cruise Centre.Travellers of all nationalities, entering via Changi Airport Arrival Terminals are eligible to seek clearance at the automated lanes."
ICA_13,What are the accepted COVID-19 vaccinations for entry into Singapore?, Travellers are strongly encouraged to be vaccinated with COVID-19 WHO EUL vaccines. There are currently no requirements related to COVID-19 vaccines for entry to Singapore You may refer to the Entering Singapore page for full details on entry requirements.
ICA_14,Do I need to surrender the deceased's NRIC to the police station or ICA for physical invalidation?,"There is no longer a need to surrender the deceased’s NRIC for physical invalidation. The deceased’s NRIC will be automatically invalidated in ICA’s system once the death is registered.To prevent misuse, you may either destroy the invalidated NRIC, or punch a hole in it.The use of another person’s NRIC is an offence under the National Registration Act, which carries a penalty of a fine not exceeding $10,000, or imprisonment for a term not exceeding 10 years, or both."
ICA_15,Can I obtain a copy of my travel history?,"We regret to inform that we are unable to provide travel records of individuals, as information gathered during the immigration clearance process is strictly meant for ICA to carry out its function as an immigration authority."
ICA_16,What is Visa Free Transit Facility (VFTF) and who is eligible for VFTF?,"The 96-hour Visa Free Transit Facility (VFTF) may be available to nationals of the Commonwealth of Independent States (CIS)[1], Georgia, India, Turkmenistan and Ukraine; as well as selected[2] Nationals of the People's Republic of China (PRC) who are not holding ordinary, diplomatic, public affairs or service PRC passports.Transit travellers who satisfy the criteria for VFTF will have to meet the prevailing entry requirements before they are allowed entry into Singapore. Assessment for entry is determined by the ICA officers at the point of entry. Extension of stay for transit travellers under VFTF is strictly not allowed.Please refer to ICA websites for more information on the following:Visa Free Transit FacilityCheck if You Need an Entry Visa[1] CIS refers to: Armenia, Azerbaijan, Belarus, Kazakhstan, Kyrgyzstan, Moldova, Russia, Tajikistan, Uzbekistan.[2] These include holder of the PRC Travel Document, Hong Kong Special Administrative Region (SAR) Document of Identity (DOI) and Macau SAR Travel Permit. Holder of ordinary, diplomatic, public affairs and service PRC passports are excluded."
ICA_17,How many visa applications can the local contact/ sponsor apply?,"There is no restriction to the number of visa applications that a local contact/ sponsor can apply. However, every visa application is assessed and considered on its own merits."
ICA_18,What should I select if my passport is issued at an overseas mission instead of a Country/Place?,"If your passport is issued at the overseas mission, the location of the overseas mission will be the country/place of issue in the visa application."
ICA_19,How should I appeal if my extension of stay application is unsuccessful?,"If your application is unsuccessful, you may submit a new application via the e-Service, citing the reasons for the request. Please ensure that all details provided in your application are accurate (e.g. DE number, Name, etc).Overstaying is an immigration offence. Please make the necessary arrangements to depart Singapore if you are unable to extend your stay before the expiry of your short-term visit pass (STVP)."
ICA_20,How do I download/ retrieve Form 5 or Form 5A?,"Form 5 or Form 5A refers to the Entry Permit issued to a successful PR applicant upon the completion of PR formalities. You may retrieve your Entry Permit details in ‘MyICA’, under ‘MyTransaction – Entry Permit’ with Singpass login."
ICA_21,How do I book/change/cancel my appointment in MyICA?,"You will be prompted to make an appointment in 'Applications' if required. If you have booked an appointment, you will see your upcoming appointment in 'Notifications'. You can click on the notification to view instructions on how to make changes to the appointment. Alternatively, you can book, change or cancel an appointment in 'e-Services', under 'e-Appointment'."
ICA_22,What is the processing time for Singapore Permanent Residence (PR) applications?,"Generally, Singapore PR applications take about six months to process, provided all the required documents are submitted. Depending on the complexity of the case, some applications may take more than six months to process.The main applicant/sponsor will be informed of the outcome via email/post. Meanwhile, your sponsor may check the status of your PR application online through ICA e-Service. New or repeated applications, for the same person(s), will not be accepted while the current application is still in process."
ICA_23,How do I apply for a birth extract if I lost my birth certificate?,"You may refer to the ICA website for more information on the application, processing time and download of a birth extract."
ICA_24,Must I submit Form V39A (Letter of Introduction/ LOI) if my company issues a letter with similar content?,"Your local contact can submit a letter of support issued by his/her company in lieu of Form V39A (Letter of Introduction/ LOI) on condition that all necessary information (such as the local contact’s NRIC details) are included as per V39A. Your local contact must be a Singapore citizen or permanent resident aged 21 years and above.Related Topics: LOI, Visa Letter of Introduction, Form V39A, LOIs"
ICA_25,Can I travel if my passport is valid for less than 6 months?,"Generally, a passport is only acceptable for travel if it has a validity period of at least 6 months."
ICA_26,There is a spelling mistake in my visa application. Can the visa application information be amended after the application has been submitted or approved?,"You must ensure that the correct information is submitted at the point of your visa application via the e-Service. Amendment of information is not allowed after successful submission of the visa application to ensure data integrity.You can disregard the outcome of the previous application submitted and proceed to submit a new visa application with the correct details.Please note that the processing fee of S$30/- collected at the time of submission is non-refundable.Lastly, please quote the reference number of the previous application and indicate the reasons for the resubmission on your new application under the 'Additional Information to support this SAVE application/Remarks' field in SAVE and check the application details carefully before submission to avoid any unnecessary delays."
ICA_27,What is Immigration Exemption Order (IEO)?,"IEO or Immigration Exemption Order allows persons accredited as diplomats, consular representatives or visiting forces, and their dependants to apply to stay and work in Singapore under the Immigration Act."
ICA_28,What should I do if I did not receive the email on retrieving my digital Student's Pass (STP)?,"For STP holders who are required to complete formalities at ICA, you should receive the email within 30 minutes after the completion of formalities. If you did not receive the email after 30 minutes:Check the spam or junk folder of your email accountEnsure that your email inbox folder is not fullEnsure that you have an active internet connection on your deviceFor STP holders who had their biometrics enrolled at the ir school, you will receive the email no more than seven (7) working days from the date of your enrolment.If you are unable to locate the email after performing the above checks, you may contact us via the enquiry form for assistance."
ICA_29,How can I apply for or renew APEC Business Travel Card (ABTC)?,All APEC Business Travel Card (ABTC) applications must be submitted online at the e-Service. The card will be mailed by registered post to the applicant when it is ready.
ICA_30,Why is QR code introduced for immigration clearance?,"Travellers arriving and departing via Singapore land checkpoints by car, motorcycle, lorry or bus can use QR codes in lieu of passports for faster and more convenient immigration clearance.This means that instead of using their passports at the immigration lanes, they will only need to scan a single QR code which they generate prior to arriving at the checkpoint."
ICA_31,What is the difference between a business visa and a social visa?,A business visa is an application submitted by a company for business purpose whereas a social visa is an application submitted by an individual/family for social purpose.
ICA_32,I am a Singaporean and my child is born overseas. Can I register my child's birth via LifeSG?,ICA does not register birth of a child who is born overseas. You should register the child's birth and obtain the birth certificate from the foreign authorities in the country/place where the child was born.You may refer to ICA website for more information on citizenship application for your child.
ICA_33,How do I update my latest employment or salary information for PR application?,"Applications submitted before 26 June 2024:If there is a change in your employment details whilst your PR application is being processed, please upload the following documents for our reference:-a) A letter to state the purpose of submitted the additional supporting document(s), for example increment etc.b) Relevant documentary proof (for example, increment letter and/or latest payslip showing the increment etc.)via 'Ad-hoc submission' under 'Enquire Application status' at ICA e-Service.Applications submitted on or after 26 June 2024:For Singpass users, please log in to the e-Service via MyICA and select 'Update information' within your case summary page to provide the update.For Non-Singpass users, please log in to the e-Service with your submitted application Reference ID and select 'Update information' within your case summary page to provide the update."
ICA_34,What is SGAC or SG Arrival Card?,"SG Arrival Card,  also known as SGAC is the electronic version of the paper Disembarkation/Embarkation (D/E) card that every foreign visitor must present for immigration clearance. A D/E number is provided to foreign visitors after SGAC submission.The submission of the SG Arrival Card is one of the basic entry requirements to visit Singapore. The use of the SG Arrival Card e-Service is free of charge. Please also note that the SG Arrival Card is not a visa."
ICA_35,"What should I input for ""Vehicle Number"" if I do not have the transport details before/at arrival?","Travelling to Singapore by BusYou may wish to submit your declaration on the same day of your arrival when you have the vehicle number. Alternatively, you may submit the declaration beforehand and indicate 'BUS' under Vehicle Number.When the vehicle number is available, you may update your declaration via:a) the SG Arrival Card e-Service under ""Update a Submission""; orb) MyICA Mobile App: Select the submitted SG Arrival Card record and tap on the ""Edit"" buttonTravelling to Singapore by RailIf you are travelling by rail, you may wish to submit your declaration on the same day of your arrival when you have the vehicle number. Alternatively, you may submit the declaration beforehand and indicate 'TRAIN' under Vehicle Number.When the train number is available, you may update your declaration via:a) the SG Arrival Card e-Service under ""Update a Submission""; orb) ICA Mobile App: Select the submitted SG Arrival Card record and tap on the ""Edit"" button.Travelling to Singapore by FootIf you are travelling by foot, you may select mode of travel as 'BUS' and indicate 'NA' under Vehicle Number."
ICA_36,Do I have to retrieve or download and print the approved e-Visa to travel to Singapore?,You are strongly encouraged to print and bring along your e-Visa to avoid any inconvenience as the airlines and immigration authorities of your country of embarkation are likely to ask for the e-Visa for verification.You can retrieve your valid e-Visa via the 'Enquire Application Status' function at the ICA e-Service with the visa application reference number and applicant's travel document number.
ICA_37,"Will I be able to make a single appointment to collect all documents (e.g. passport, identity card)?",Separate appointments will need to be made to collect the different documents.Note: Eligible applicants who have re-registered for an identity card when they apply for a passport can collect both passport and identity card in a single appointment.
ICA_38,When will I receive the In-Principle Approval letter If my application is approved?,You will receive a notification to download the outcome letter with relevant instructions at ICA e-Service when your application status is 'In-Principle Approval'.
ICA_39,How do I get back my Permanent Residence (PR) status if I had previously renounced PR?,"There is no provision to reinstate the PR status of those who have renounced their status voluntarily. If you are Interested to become a Singapore PR again, you may submit a fresh application to us for consideration if you meet the prevailing application criteria for PR."
ICA_40,How do I apply for a Pre-Marriage LTVP Assessment (PMLA)?,A Singapore citizen - Non-resident couple is encouraged to submit a PMLA before getting married. The PMLA provides greater clarity on whether your intended non-resident spouse may qualify for long-term stay in Singapore. Failing to complete a PMLA may lead to a longer processing time when you and your foreign spouse submit a Long-Term Visit Pass (LTVP) application after marriage.You may refer to Pre-Marriage LTVP Assessment for more information.
ICA_41,Can I use a photograph taken with my mobile phone for a passport or identity card (IC) application?,"We recommend that you download and use mobile apps that are specifically designed to take photographs for Singapore passport or identity card applications. These apps usually come with features that will help you take photographs in the required dimensions. Some suggested search-words you can use on the Android Play Store or Apple App Store are 'Singapore Passport’, 'Singapore IC’ and 'Photo’. The photograph will be accepted if it complies with our photo guidelines."
ICA_42,How can I cancel a Short-Term Visit Pass?, The Short-Term Visit Pass (STVP) will automatically expire after the last day of validity or when the traveller departs Singapore. There is no need to cancel the STVP if a traveller wishes to depart Singapore before the expiry.
ICA_43,How long will the passport application process take?,"The processing time for a passport is around 1 to 2 weeks. The processing time will be longer if your photograph does not meet the standard requirements.If you do not hear from us after 2 weeks from the date of application, you may contact us via the enquiry form for assistance."
ICA_44,How do I report or provide information against immigration offenders and related activities?,"You may send your feedback or report on potential immigration offenders and related activities (illegal immigrant, overstayer, suspected marriage of convenience or sham marriage etc.) through ICA online form.Please note that all identities and information provided to ICA are used only for our assessment/investigation purposes and will be treated with the strictest confidence. Information gathered during our assessment/investigation is meant only for ICA to carry out our function as an immigration and checkpoints authority and we are unable to disclose any investigation findings or outcome of the case."
ICA_45,What should I do if I found my lost IC after I have reported the loss of the IC?,"The lost card becomes invalid once you have applied for a replacement IC. You should use your new IC and invalidate your lost card by cutting it up.If you have not applied for the IC replacement, please submit to ICA the front and back images of your recovered IC."
ICA_46,Do I need to book an appointment date for the oath-taking?,"You are not required to book an appointment for oath-taking. You may proceed to ICA Services Centre and obtain an 'Oath-taking' queue ticket at the self-service kiosks. Please ensure you have the required documents to complete your Oath of Renunciation, Allegiance and Loyalty (ORAL)."
ICA_47,Who should the employment letter from my employer be addressed to for my citizenship application?,"Your letter can be addressed to ICA Services Centre. The letter is to be dated no more than three months from the date you apply for Singapore citizenship, stating your occupation, date of employment, basic and gross salary per month."
ICA_48,My Re-Entry Permit (REP) was renewed for one year only. Can I request for a longer duration of Re-Entry Permit (REP)?,"All REP renewal applications are being carefully assessed, taking into consideration all relevant factors, before a decision is made. If there are fresh facts and circumstances to support your request for a longer REP validity, you may furnish them to us for consideration at your next REP renewal."
ICA_49,What are the documents required for IC collection?,You must bring along your current IC for verification and invalidation unless you are collecting a replacement for a lost IC.
ICA_50,Is there a limit to the number of profiles in a group QR code?,"A single group QR code can contain up to 10 profiles.For travellers who selected ""Motorcycle"" as the vehicle type, only a maximum of two profiles are allowed in this group QR code.For travellers who selected ""Lorry"" or “Bus” as the vehicle type, only a maximum of four profiles are allowed in this group QR code.Nevertheless, travellers are free to create and customise multiple groups of QR codes, depending on their travel needs."
ICA_51,Will a Student's Pass Holder be issued a Long-Term Pass automatically upon course completion?,"Upon course completion, students will have to cancel their Student's Pass (STP) and surrender any physical STP card that was issued to them for cancellation to ICA. Upon cancellation of their STP, they may be granted a short-term visit pass to stay in Singapore (up to 89 days).If you are studying in an Institute of Higher Learning (IHL) and wish to have a longer period of stay to look for jobs upon completion of your course, you may apply for a one-year (non-renewable) long term visit pass (LTVP).You may refer to LTVP for Graduate from IHL Seeking Employment in Singapore for more details."
ICA_52,How do I extend the Special Pass of my newborn if the foreign passport is not ready for collection?,"You can submit the extension of stay form at least 7 days before the expiry of your child’s current Special Pass.You are required to furnish the following documents for the extension of your child's special pass:a) Travel documents of both parents,b) Singapore IC or work passes of both parents;c) Parents' marriage certificate (if any) and child's birth certificate;d) Advisory note; ande) Letter of acknowledgement from the Embassy or High Commission in Singapore indicating you have submitted a travel document application for your child or the travel document for your new-born child."
ICA_53,What should I key in for the field 'Date of Departure from Singapore' if I am not leaving Singapore?," You are expected to provide information that is true, accurate, and complete to the best of your knowledge and belief. If you are a short-term visitor, you must be able to provide a confirmed onward or return ticket (where applicable) to be considered for entry to Singapore. Please refer to ICA's entry requirements for more information. If you are an In-Principle Approval (IPA) letter holder, you may provide an indicative departure date that is 30 days from the arrival date and the same city as the last city/port of embarkation in your SG Arrival Card, if you do not have the information at the point of submission."
ICA_54,Will my current ABTC card be affected due to the change in the validity of passport?,"The validity of the ABTC is five years or up to the validity of the passport, whichever is shorter. However, if your Singapore passport number has changed, you need to apply for a new ABTC under the category of 'replacement due to change of particulars'. You should submit an application only after you have collected your new passport."
ICA_55,Can I authorise another person to collect my/my child’s passport on my behalf?,"You must collect your passport in person, be it at SingPost or ICA Services Centre.For your child (aged below 16 at the point of application) and if the collection is at ICA Services Centre, you may authorise another person to accompany your child. In addition to the documents listed in the notification card/email, the authorised person would need to bring along his/her IC and the signed authorisation letter by consenting parent, which includes names and IC numbers of both parties as well as name and birth certification number of child.If the collection is at SingPost, the consenting parent who applied for the child's passport must be present and you cannot authorise another person to collect your child's passport on your behalf."
ICA_56,"If I submit an application for Long-Term Visit Pass (LTVP) renewal early (e.g. six months before expiry), will the remaining validity of my current LTVP be added to my new LTVP?","There is no restriction on how early a Long-Term Visit Pass (LTVP) holder can submit the LTVP renewal application. However, the remaining validity of your current LTVP will not be added to the validity of your new LTVP. You can submit your LTVP renewal application two to three months before expiry of the current LTVP.For applicants who are exempted from visiting ICA Services Centre to complete the formalities for the LTVP issuance, the issuance date will follow the payment date of the LTVP issuance fee."
ICA_57,Do I have to inform ICA if there is a change in passport number due to passport renewal?,"The updating of new passport number is not required after the submission of the Pre-Marriage LTVP Assessment (PMLA). However, please take note to update your new passport number in the online application form during your Long-Term Visit Pass (LTVP) application."
ICA_58,Can I change my address at a neighbourhood police post/centre or at ICA Services Centre?,This service is no longer available at the police posts and ICA Services Centre. Please visit our e-service to change your address.
ICA_59,Can I travel with my current passport while my new passport application is still being processed?,You may travel using your current passport if it has a validity period of at least 6 months and is not damaged. The current passport will be invalidated only upon issuance of the new passport.
ICA_60,Why is there no arrival endorsement in my passport after I enter Singapore as a foreign visitor?,"ICA has replaced the arrival stamp endorsements issued to foreign visitors on short-term visit pass with the electronic Visit Pass (e-Pass).Upon granted entry into Singapore, the e-Pass will be automatically issued to foreign visitors via email based on the email address declared in their SG Arrival Card submission. Foreign visitors may also check their email spam/junk folder if they are unable to find the e-Pass in their email inbox.You may refer to ICA website for more information on entering Singapore."
ICA_61,Can I register/replace my IC when I am residing overseas?,You need to collect your IC in person. Please only register/replace your IC if you are planning to return to Singapore within the next six months.
ICA_62,How do I check my newborn's citizenship status?,"A child born in Singapore to legally married parents who are both Singapore citizens (or either one is a Singapore citizen) at the time of child's birth, is automatically a Singapore Citizen."
ICA_63,Do I need a visa if I want to transit in Singapore?,"If you arrived at Singapore Changi Airport and were issued with the onward boarding passes for connecting flights out of Changi Airport, you may remain within the Changi Airport transit area until time for flight departure.You can also remain in the transit area if you can obtain the onward boarding passes from any of the Transfer Lounges within the transit area.However, if you are not issued with the onward boarding passes for connecting flights out of Changi Airport; or unable to obtain the onward boarding passes from any of the Transfer Lounges within the transit area, you are advised to exit the transit area as soon as possible.We wish to highlight that most passengers who are arriving on a Low Cost Carrier (LCC) or connecting to a LCC are required to seek immigration clearance and obtain your onward boarding passes in the respective Departure Check-in Hall.If you are required to seek immigration clearance before obtaining your onward boarding passes at the Departure Check-in Hall, you will have to satisfy the prevailing entry requirements, which include possessing an entry visa, where applicable.All passengers are strongly advised to liaise with the relevant airlines before embarking on your journey. For more information on flights connection and transit facilities/ services, please visit the Changi Airport Group's website."
ICA_64,What is required for a LTVP holder to work in Singapore?,"LTVP/LTVP+ holders may only commence work after they are issued a valid Letter of Consent (LOC) from Ministry of Manpower, along with a valid LTVP. You may continue to work if you have been issued with a valid work pass from Ministry of Manpower separately."
ICA_65,Can I enter as a PR if my Re-Entry Permit is tagged to my old passport instead of my new passport?,"You may enter as a Singapore Permanent Resident (PR) if your Re-Entry Permit (REP) is still valid. You would need to use your Singpass to access the ICA e-Service and transfer the remaining validity of your valid REP from the old to the new passport. Otherwise, you may be inconvenienced each time you travel in and out of Singapore."
ICA_66,Which mobile app can travellers use to generate the QR code?,"The QR code is generated via the MyICA mobile app, which can be downloaded for free from both App Store (iOS) and Google Play (Android)."
ICA_67,How do I check the status of my passport application or retrieve the application reference number?,"You may check the status of your online application or retrieve your application reference number by logging in to MyICA.For hardcopy applications, you may log in to our e-Service."
ICA_68,Why was my Student's Pass application rejected?,We regret to inform you that we are unable to share specific information on the assessment of applications. All Student's Pass application are carefully considered and reviewed by ICA.You may refer to Becoming a Student's Pass Holder for more information on Student's Pass requirements.
ICA_69,Can I renew my Singapore passport if I am in the midst of renouncing my foreign citizenship?,"Under the Singapore Constitution, minors who are Singapore Citizens by descent or registration must take the Oath of Renunciation, Allegiance and Loyalty (ORAL) upon attaining 21 years of age and before attaining 22 years of age. Minor is required to take the ORAL on or after 21st birthday date and no later than 22nd birthday.Once the minor has completed his/her oath taking formalities, he/she may apply for Singapore passport. Nonetheless, should the minor require to extend the validity of his/her Singapore Passport before taking the Oath, and in need to travel, he/she may apply for a new passport with a validity one day before his/her 22nd birthday. The passport can only be extended to its full 10-year after the minor has taken the ORAL.You may contact us via the enquiry form if you require further clarifications on passport renewal."
ICA_70,What is the expected processing time for an IC application?,"The expected processing time for IC application is seven (7) working days. If you also applied for a passport within the same application, the combined processing time for both documents is three (3) weeks."
ICA_71,Can I sponsor my parent(s) for Singapore Permanent Residence (PR)?,You can sponsor your parent(s) for Singapore Permanent Residence (PR) only if you are a Singapore citizen.
ICA_72,Can I still collect my passport at SingPost if I missed my appointment?,"You have a 4-day collection window to collect your passport at SingPost from your appointment date. If you miss the collection window, please make another appointment to collect your passport 2 working days after the collection window has lapsed."
ICA_73,What should I do if I have not received my PIN mailer or address sticker?,"If you have not received your PIN or address sticker after seven (7) days (for local addresses), please request for another PIN or sticker via the e-service. After you request for a new PIN, the original PIN will no longer be valid. For overseas addresses, the delivery time may be longer."
ICA_74,"How do I check the status of my Singapore citizenship, Permanent Residence and/or Long-Term Visit Pass application if I do not have SingPass?","If you have submitted your application on or after 26 June 2024, you may log in to the ICA e-Service with your reference number to check the status of your Singapore Citizenship, Permanent Residence or Long-Term Visit Pass application.You will be redirected to the Case Summary page where you can check your status enquiry."
ICA_75,When will I receive the final outcome letter after completing the Singapore citizenship journey?,"After you have completed the last component of the Singapore citizenship journey, you should be able to view your letter online within the next two to three weeks."
ICA_76,I am currently overseas and require a new passport. How should I apply for it?,"Please submit your Singapore passport application online. Log in to our e-Services and select the Singapore Overseas Mission closest to you for the collection venue.Alternatively, please proceed to the nearest Singapore Overseas Mission to apply in person."
ICA_77,Can I request to reschedule my citizenship ceremony?,You may contact us via the enquiry form on the request to reschedule your citizenship ceremony.
ICA_78,I have submitted my SG Arrival Card (SGAC) with health declaration? How can I retrieve my submitted SGAC with health declaration if I did not print the acknowledgement?,"Upon successful submission of the SG Arrival Card (SGAC), an acknowledgement email, which contains information on your arrival declarations will be sent to the email address provided in your SGAC submission. Foreign visitors will be able to find the Disembarkation/Embarkation (DE) number in the acknowledgement emails.Travellers who had submitted the SGAC at ICA e-Service will be able to download a PDF copy of their declarations after submission.Please be informed that the acknowledgement email would suffice. You can refer to the email spam/junk folder if you are unable to find the acknowledgement email in your email inbox.Upon arrival in Singapore, please show the acknowledgement email on your mobile device or a printout copy to the ICA officers."
ICA_79,What are the responsibilities of a Local Contact if a visa applicant breached the law in Singapore?,The Local Contact may be called upon for interview to assist in investigation if the foreigner is found to have breached the law in Singapore.
ICA_80,Can Dependant's Pass (DP) holders study in Singapore?,"If you hold a valid Long-Term Visit Pass (LTVP), Dependant's Pass (DP) or Immigration Exemption Order (IEO), you are not required to obtain a Student's Pass to pursue full-time, non-religious related studies in Singapore. You may enrol in any full-time, non-religious course within the duration of your existing pass.If you hold a valid LTVP or DP and wish to study in an approved religious school/madrasah, you will still need to obtain a Student’s Pass. Holders of a valid IEO are exempted from this requirement."
ICA_81,Can I submit the SG Arrival Card for multiple trips under 'Group Submission'?,The 'Group Submission' is meant for a group of persons who are travelling to Singapore together for one trip.
ICA_82,Will my PR status be revoked if I divorce my spouse who sponsored my Singapore Permanent Residence (PR) application?,"Any cancellation of PR must be done in accordance with the provisions of the Immigration Act (Chapter 133) or the Regulations thereunder. While your PR may be sponsored by your spouse, your renewal of REP will be assessed on your own merits if you are divorced or under-going divorce."
ICA_83,What should I do if I need to travel urgently but I do not have a valid passport?,"Singapore citizens who require your passport urgently may approach our service ambassadors at Level 1, ICA Services Centre during our operating hours. Please bring along the following documents:For yourself –• IC;• Current passport (if valid at the point of passport application)• Evidence of urgent travel need (hotel reservations, flight tickets, travel itinerary etc); and• Recent passport-sized photo (taken within 3 months).For your child (aged below 16) –• Child's original birth certificate;• IC of the parent who consented to the child's passport application;• Child's current passport (if valid at the point of passport application)• Evidence of urgent travel need(hotel reservations, flight tickets, travel itinerary etc); and• Recent passport-sized photo (taken within 3 months).Your request will be assessed by ICA and the waiting time is expected to be three hours or longer."
ICA_84,Can I apply for a Long-Term Visit Pass (LTVP) and Singapore Permanent Residence (PR) concurrently?,Both LTVP and PR may be applied concurrently.
ICA_85,What will happen if a traveller or his/her travel companion submits wrong passport information while generating the QR code?,"It is crucial for travellers to verify and confirm the accuracy of the details included in the QR code. Failure to do so may lead to inconvenience when they undergo immigration clearance at Singapore Land checkpoints.If you need to correct any inaccuracies in the information you have provided, you may edit the details through navigating to the 'edit' option under your profile."
ICA_86,Do I have to cancel my Dependant's pass before Student's Pass is issued?,"Upon issuance of a Student's pass, your Dependant's Pass will be automatically cancelled."
ICA_87,How do I check the status of my application for extension of stay?,"Your application for the extension of your Visit Pass will be processed within five working days (excluding Public Holidays and weekends). Some applications may take longer to process.You can check the status of your application online via the 'Enquire Application Status' function in the e-Service by keying in your travel document number and DE number (found in the SG Arrival Card acknowledgement), or your travel document number and expiry date."
ICA_88,Why did I get a 3-month extension for my current LTVP?,Long-Term Visit Pass (LTVP) renewal applicants who are eligible for the LTVP extension will receive an email notification to inform you on the 3-month extension for your current LTVP. This is an interim arrangement while we process your LTVP renewal application. We will inform you the outcome of your renewal application via email.
ICA_89,Do I need to update my new passport details if the registered passport for automated clearance has expired?,For Singapore Passport HoldersYou do not need to update your new passport information separately every time you renew your passportFor Non-Singapore Passport HoldersYou will need to update your new passport details with the relevant centres:For Singapore permanent residents (via ICA e-Service on REP Renew/Transfer)For Long-Term Pass holders registered with ICATravel Document update for Long-Term Visit Pass holdersTravel Document update for Student's Pass holdersMinistry of Manpower (MOM) if you are Employment/Dependant's Pass holders (via MOM website).The service is free-of-charge.
ICA_90,When do I need to report a change of address on my IC?,IC holders are required to report a change of address within 28 days of moving to the new address.
ICA_91,What is the average processing time for an application to renew or transfer Re-Entry Permit (REP) submitted online?,The general processing time is within one week for REP renewal and within three working days for REP transfer applications submitted online. Please note that the processing time excludes the day of submission and some applications may take longer to process.
